case_number,year,country,activity,sex,fatal,fatal_numerica,month,latitude,hemisphere,season
2007.07.17,2007.0,USA,,F,N,0,7,37.09024,North,Summer
2007.07.10,2007.0,BAHAMAS,spearfishing,F,N,0,7,25.03428,North,Summer
2007.07.05,2007.0,USA,surfing,M,N,0,7,37.09024,North,Summer
2007.07.04,2007.0,REUNION,boarding,M,N,0,7,-21.115141,South,Winter
2007.06.30,2007.0,USA,,M,N,0,6,37.09024,North,Summer
2007.06.30,2007.0,USA,swimming,F,N,0,6,37.09024,North,Summer
2007.06.25,2007.0,USA,surfing,M,N,0,6,37.09024,North,Summer
2007.06.24,2007.0,USA,surfing,M,N,0,6,37.09024,North,Summer
2007.06.12,2007.0,USA,swimming,F,N,0,6,37.09024,North,Summer
2007.06.05,2007.0,AUSTRALIA,surfing,M,N,0,6,-25.274398,South,Winter
2007.05.26,2007.0,USA,,F,N,0,5,37.09024,North,Spring
2007.05.24,2007.0,USA,,F,N,0,5,37.09024,North,Spring
2007.05.17,2007.0,UNITED KINGDOM,fishing,M,N,0,5,55.378051,North,Spring
2007.05.16,2007.0,AUSTRALIA,,F,N,0,5,-25.274398,South,Autumn
2007.05.12,2007.0,AUSTRALIA,surfing,M,N,0,5,-25.274398,South,Autumn
2007.05.10,2007.0,USA,surfing,F,N,0,5,37.09024,North,Spring
2007.05.09,2007.0,SEYCHELLES,snorkeling,M,N,0,5,-4.679574,South,Autumn
2007.05.07,2007.0,USA,snorkeling,F,N,0,5,37.09024,North,Spring
2007.05.07,2007.0,USA,swimming,M,N,0,5,37.09024,North,Spring
2007.05.04,2007.0,TURKS & CAICOS,,,Y,1,5,21.694025,North,Spring
2007.05.00,2007.0,BAHAMAS,,F,N,0,5,25.03428,North,Spring
2007.04.26,2007.0,AUSTRALIA,,F,N,0,4,-25.274398,South,Autumn
2007.04.22,2007.0,USA,boarding,M,N,0,4,37.09024,North,Spring
2007.04.20,2007.0,USA,surfing,M,N,0,4,37.09024,North,Spring
2007.04.13,2007.0,USA,fishing,,N,0,4,37.09024,North,Spring
2007.04.09,2007.0,NEW CALEDONIA,surfing,M,N,0,4,-20.904305,South,Autumn
2007.04.01,2007.0,USA,,M,N,0,4,37.09024,North,Spring
2007.03.31,2007.0,USA,surfing,M,N,0,3,37.09024,North,Spring
2007.03.31,2007.0,USA,,M,N,0,3,37.09024,North,Spring
2007.03.22,2007.0,YEMEN,,,Y,1,3,15.552727,North,Spring
2007.03.21,2007.0,USA,surfing,M,N,0,3,37.09024,North,Spring
2007.03.20,2007.0,AUSTRALIA,surfing,F,N,0,3,-25.274398,South,Autumn
2007.03.14,2007.0,USA,fishing,M,N,0,3,37.09024,North,Spring
2007.03.12,2007.0,AUSTRALIA,swimming,F,N,0,3,-25.274398,South,Autumn
2007.03.11,2007.0,USA,surfing,M,N,0,3,37.09024,North,Spring
2007.03.05,2007.0,NEW ZEALAND,spearfishing,M,N,0,3,-40.900557,South,Autumn
2007.02.03,2007.0,AUSTRALIA,boarding,M,N,0,2,-25.274398,South,Summer
2007.02.00,2007.0,NEW CALEDONIA,spearfishing,M,N,0,2,-20.904305,South,Summer
2007.01.25,2007.0,NEW CALEDONIA,,M,N,0,1,-20.904305,South,Summer
2007.01.25,2007.0,USA,,,N,0,1,37.09024,North,Winter
2007.01.23,2007.0,AUSTRALIA,diving,M,N,0,1,-25.274398,South,Summer
2007.01.09,2007.0,AUSTRALIA,surfing,M,N,0,1,-25.274398,South,Summer
2007.01.05,2007.0,USA,surfing,M,N,0,1,37.09024,North,Winter
2006.12.18,2006.0,AUSTRALIA,surfing,M,N,0,12,-25.274398,South,Summer
2006.12.11,2006.0,NEW ZEALAND,surfing,M,N,0,12,-40.900557,South,Summer
2006.12.10,2006.0,USA,surfing,M,N,0,12,37.09024,North,Winter
2006.12.02,2006.0,AUSTRALIA,boarding,M,N,0,12,-25.274398,South,Summer
2006.11.25,2006.0,PHILIPPINES,,,Y,1,11,12.879721,North,Autumn
2006.11.11,2006.0,USA,swimming,M,N,0,11,37.09024,North,Autumn
2006.10.31,2006.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2006.10.16,2006.0,USA,fishing,M,N,0,10,37.09024,North,Autumn
2006.10.10,2006.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2006.10.07,2006.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2006.10.05,2006.0,USA,,M,N,0,10,37.09024,North,Autumn
2006.10.00,2006.0,BAHAMAS,,F,N,0,10,25.03428,North,Autumn
2006.09.29,2006.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2006.09.18,2006.0,USA,,M,N,0,9,37.09024,North,Autumn
2006.09.16,2006.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2006.09.14,2006.0,USA,swimming,M,N,0,9,37.09024,North,Autumn
2006.09.11,2006.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2006.09.03,2006.0,BRAZIL,,M,Y,1,9,-14.235004,South,Spring
2006.09.03,2006.0,USA,,M,N,0,9,37.09024,North,Autumn
2006.09.02,2006.0,USA,swimming,M,N,0,9,37.09024,North,Autumn
2006.08.29,2006.0,USA,surfing,M,N,0,8,37.09024,North,Summer
2006.08.29,2006.0,AUSTRALIA,surfing,M,N,0,8,-25.274398,South,Winter
2006.08.27,2006.0,REUNION,boarding,M,N,0,8,-21.115141,South,Winter
2006.08.20,2006.0,ITALY,,M,Y,1,8,41.87194,North,Summer
2006.08.20,2006.0,REUNION,surfing,M,Y,1,8,-21.115141,South,Winter
2006.08.00,2006.0,USA,,F,N,0,8,37.09024,North,Summer
2006.08.00,2006.0,REUNION,spearfishing,M,N,0,8,-21.115141,South,Winter
2006.07.31,2006.0,USA,,,N,0,7,37.09024,North,Summer
2006.07.31,2006.0,USA,surfing,M,N,0,7,37.09024,North,Summer
2006.07.29,2006.0,USA,boarding,M,N,0,7,37.09024,North,Summer
2006.07.29,2006.0,USA,surfing,M,N,0,7,37.09024,North,Summer
2006.07.25,2006.0,USA,surfing,M,N,0,7,37.09024,North,Summer
2006.07.23,2006.0,USA,fishing,M,N,0,7,37.09024,North,Summer
2006.07.17,2006.0,USA,,M,N,0,7,37.09024,North,Summer
2006.07.12,2006.0,USA,swimming,F,N,0,7,37.09024,North,Summer
2006.07.10,2006.0,BRAZIL,,M,Y,1,7,-14.235004,South,Winter
2006.07.09,2006.0,USA,,M,N,0,7,37.09024,North,Summer
2006.07.09,2006.0,USA,,M,N,0,7,37.09024,North,Summer
2006.07.08,2006.0,USA,boarding,F,N,0,7,37.09024,North,Summer
2006.07.08,2006.0,USA,swimming,M,N,0,7,37.09024,North,Summer
2006.06.30,2006.0,USA,spearfishing,F,N,0,6,37.09024,North,Summer
2006.06.30,2006.0,USA,spearfishing,M,N,0,6,37.09024,North,Summer
2006.06.27,2006.0,USA,boarding,F,N,0,6,37.09024,North,Summer
2006.06.26,2006.0,USA,fishing,M,N,0,6,37.09024,North,Summer
2006.06.24,2006.0,BAHAMAS,spearfishing,M,N,0,6,25.03428,North,Summer
2006.06.20,2006.0,USA,surfing,F,N,0,6,37.09024,North,Summer
2006.06.18,2006.0,BRAZIL,boarding,M,Y,1,6,-14.235004,South,Winter
2006.06.17,2006.0,USA,diving,M,N,0,6,37.09024,North,Summer
2006.06.15,2006.0,USA,surfing,M,N,0,6,37.09024,North,Summer
2006.06.07,2006.0,USA,,F,N,0,6,37.09024,North,Summer
2006.06.05,2006.0,AUSTRALIA,surfing,M,N,0,6,-25.274398,South,Winter
2006.05.31,2006.0,USA,spearfishing,M,N,0,5,37.09024,North,Spring
2006.05.28,2006.0,USA,,,N,0,5,37.09024,North,Spring
2006.05.27,2006.0,USA,surfing,M,N,0,5,37.09024,North,Spring
2006.05.24,2006.0,USA,spearfishing,M,N,0,5,37.09024,North,Spring
2006.05.21,2006.0,BRAZIL,surfing,M,N,0,5,-14.235004,South,Autumn
2006.05.19,2006.0,USA,diving,F,N,0,5,37.09024,North,Spring
2006.05.10,2006.0,USA,,M,N,0,5,37.09024,North,Spring
2006.05.04,2006.0,USA,swimming,F,N,0,5,37.09024,North,Spring
2006.05.02,2006.0,AUSTRALIA,snorkeling,M,N,0,5,-25.274398,South,Autumn
2006.04.21,2006.0,USA,surfing,M,N,0,4,37.09024,North,Spring
2006.04.19,2006.0,USA,,F,N,0,4,37.09024,North,Spring
2006.04.13,2006.0,USA,fishing,M,N,0,4,37.09024,North,Spring
2006.04.11,2006.0,AUSTRALIA,surfing,M,N,0,4,-25.274398,South,Autumn
2006.04.09,2006.0,BRAZIL,swimming,M,N,0,4,-14.235004,South,Autumn
2006.04.03,2006.0,USA,,M,N,0,4,37.09024,North,Spring
2006.03.28,2006.0,SIERRA LEONE,fishing,M,Y,1,3,8.460555,North,Spring
2006.03.23,2006.0,USA,surfing,F,N,0,3,37.09024,North,Spring
2006.03.19,2006.0,FIJI,surfing,M,N,0,3,-16.578193,South,Autumn
2006.03.15,2006.0,AUSTRALIA,surfing,M,N,0,3,-25.274398,South,Autumn
2006.02.27,2006.0,USA,,F,N,0,2,37.09024,North,Winter
2006.02.13,2006.0,AUSTRALIA,,M,N,0,2,-25.274398,South,Summer
2006.02.12,2006.0,AUSTRALIA,swimming,M,N,0,2,-25.274398,South,Summer
2006.02.12,2006.0,AUSTRALIA,fishing,M,N,0,2,-25.274398,South,Summer
2006.02.01,2006.0,TONGA,swimming,F,Y,1,2,-21.178986,South,Summer
2006.02.01,2006.0,USA,kayaking,M,N,0,2,37.09024,North,Winter
2006.01.18,2006.0,USA,surfing,M,N,0,1,37.09024,North,Winter
2006.01.15,2006.0,AUSTRALIA,diving,M,N,0,1,-25.274398,South,Summer
2006.01.07,2006.0,AUSTRALIA,swimming,F,Y,1,1,-25.274398,South,Summer
2006.01.04,2006.0,USA,surfing,M,N,0,1,37.09024,North,Winter
2005.12.24,2005.0,USA,surfing,M,N,0,12,37.09024,North,Winter
2005.12.21,2005.0,USA,swimming,M,N,0,12,37.09024,North,Winter
2005.12.11,2005.0,AUSTRALIA,spearfishing,M,N,0,12,-25.274398,South,Summer
2005.12.05,2005.0,AUSTRALIA,fishing,,N,0,12,-25.274398,South,Summer
2005.11.29,2005.0,USA,surfing,M,N,0,11,37.09024,North,Autumn
2005.11.27,2005.0,USA,surfing,M,N,0,11,37.09024,North,Autumn
2005.11.25,2005.0,AUSTRALIA,fishing,,N,0,11,-25.274398,South,Spring
2005.11.25,2005.0,AUSTRALIA,surfing,M,N,0,11,-25.274398,South,Spring
2005.11.24,2005.0,NEW CALEDONIA,spearfishing,,N,0,11,-20.904305,South,Spring
2005.11.21,2005.0,USA,surfing,M,N,0,11,37.09024,North,Autumn
2005.11.20,2005.0,USA,surfing,M,N,0,11,37.09024,North,Autumn
2005.11.16,2005.0,NEW CALEDONIA,,,N,0,11,-20.904305,South,Spring
2005.11.12,2005.0,USA,surfing,M,N,0,11,37.09024,North,Autumn
2005.11.02,2005.0,USA,surfing,M,N,0,11,37.09024,North,Autumn
2005.11.02,2005.0,USA,surfing,M,N,0,11,37.09024,North,Autumn
2005.10.29,2005.0,USA,,M,N,0,10,37.09024,North,Autumn
2005.10.21,2005.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2005.10.19,2005.0,USA,surfing,F,N,0,10,37.09024,North,Autumn
2005.10.15,2005.0,USA,,M,N,0,10,37.09024,North,Autumn
2005.10.13,2005.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2005.10.06,2005.0,USA,,M,N,0,10,37.09024,North,Autumn
2005.10.03,2005.0,BAHAMAS,diving,M,N,0,10,25.03428,North,Autumn
2005.09.27,2005.0,AUSTRALIA,surfing,M,N,0,9,-25.274398,South,Spring
2005.09.24,2005.0,AUSTRALIA,surfing,M,N,0,9,-25.274398,South,Spring
2005.09.23,2005.0,AUSTRALIA,surfing,M,N,0,9,-25.274398,South,Spring
2005.09.20,2005.0,USA,surfing,F,N,0,9,37.09024,North,Autumn
2005.09.11,2005.0,USA,surfing,M,Y,1,9,37.09024,North,Autumn
2005.09.07,2005.0,AUSTRALIA,,M,N,0,9,-25.274398,South,Spring
2005.09.05,2005.0,USA,,F,N,0,9,37.09024,North,Autumn
2005.09.04,2005.0,AUSTRALIA,surfing,M,N,0,9,-25.274398,South,Spring
2005.09.02,2005.0,USA,,M,N,0,9,37.09024,North,Autumn
2005.09.02,2005.0,THAILAND,,M,Y,1,9,15.870032,North,Autumn
2005.08.24,2005.0,AUSTRALIA,diving,M,Y,1,8,-25.274398,South,Winter
2005.08.24,2005.0,USA,surfing,M,N,0,8,37.09024,North,Summer
2005.08.21,2005.0,USA,swimming,M,N,0,8,37.09024,North,Summer
2005.08.19,2005.0,USA,,M,N,0,8,37.09024,North,Summer
2005.08.12,2005.0,USA,surfing,M,N,0,8,37.09024,North,Summer
2005.08.06,2005.0,USA,swimming,M,N,0,8,37.09024,North,Summer
2005.07.27,2005.0,USA,,F,N,0,7,37.09024,North,Summer
2005.07.23,2005.0,USA,surfing,M,N,0,7,37.09024,North,Summer
2005.07.17,2005.0,CHINA,diving,M,N,0,7,35.86166,North,Summer
2005.07.15,2005.0,USA,swimming,M,N,0,7,37.09024,North,Summer
2005.07.13,2005.0,USA,,F,N,0,7,37.09024,North,Summer
2005.07.01,2005.0,USA,,M,N,0,7,37.09024,North,Summer
2005.06.27,2005.0,USA,fishing,M,N,0,6,37.09024,North,Summer
2005.06.25,2005.0,USA,swimming,F,Y,1,6,37.09024,North,Summer
2005.06.22,2005.0,VANUATU,swimming,F,Y,1,6,-15.376706,South,Winter
2005.06.21,2005.0,MEXICO,surfing,M,N,0,6,23.634501,North,Summer
2005.06.16,2005.0,USA,swimming,M,N,0,6,37.09024,North,Summer
2005.06.13,2005.0,SOUTH KOREA,diving,F,N,0,6,35.907757,North,Summer
2005.06.07,2005.0,USA,boarding,F,N,0,6,37.09024,North,Summer
2005.06.02,2005.0,USA,,M,N,0,6,37.09024,North,Summer
2005.05.28,2005.0,USA,swimming,M,N,0,5,37.09024,North,Spring
2005.05.27,2005.0,USA,,F,N,0,5,37.09024,North,Spring
2005.05.15,2005.0,AUSTRALIA,spearfishing,M,N,0,5,-25.274398,South,Autumn
2005.05.14,2005.0,USA,kayaking,,N,0,5,37.09024,North,Spring
2005.05.03,2005.0,MADAGASCAR,fishing,M,N,0,5,-18.766947,South,Autumn
2005.05.02,2005.0,USA,,M,N,0,5,37.09024,North,Spring
2005.05.02,2005.0,USA,surfing,M,N,0,5,37.09024,North,Spring
2005.04.25,2005.0,AUSTRALIA,fishing,M,N,0,4,-25.274398,South,Autumn
2005.04.17,2005.0,AUSTRALIA,,,N,0,4,-25.274398,South,Autumn
2005.04.16,2005.0,AUSTRALIA,spearfishing,M,N,0,4,-25.274398,South,Autumn
2005.04.16,2005.0,AUSTRALIA,surfing,M,N,0,4,-25.274398,South,Autumn
2005.04.13,2005.0,USA,,F,N,0,4,37.09024,North,Spring
2005.04.07,2005.0,USA,surfing,M,N,0,4,37.09024,North,Spring
2005.04.06,2005.0,USA,,F,N,0,4,37.09024,North,Spring
2005.03.27,2005.0,AUSTRALIA,surfing,M,N,0,3,-25.274398,South,Autumn
2005.03.25,2005.0,VENEZUELA,surfing,M,N,0,3,6.42375,North,Spring
2005.03.19,2005.0,AUSTRALIA,snorkeling,M,Y,1,3,-25.274398,South,Autumn
2005.03.12,2005.0,USA,diving,M,N,0,3,37.09024,North,Spring
2005.03.09,2005.0,NEW ZEALAND,fishing,M,N,0,3,-40.900557,South,Autumn
2005.03.05,2005.0,SOLOMON ISLANDS,diving,M,N,0,3,-9.64571,South,Autumn
2005.02.26,2005.0,AUSTRALIA,swimming,M,N,0,2,-25.274398,South,Summer
2005.02.22,2005.0,USA,spearfishing,M,N,0,2,37.09024,North,Winter
2005.02.16,2005.0,USA,surfing,M,N,0,2,37.09024,North,Winter
2005.02.13,2005.0,USA,spearfishing,M,N,0,2,37.09024,North,Winter
2005.02.04,2005.0,BRAZIL,surfing,M,N,0,2,-14.235004,South,Summer
2005.01.20,2005.0,CUBA,swimming,M,N,0,1,21.521757,North,Winter
2005.01.19,2005.0,AUSTRALIA,spearfishing,M,N,0,1,-25.274398,South,Summer
2005.01.14,2005.0,AUSTRALIA,,,N,0,1,-25.274398,South,Summer
2005.01.08,2005.0,NEW ZEALAND,fishing,M,N,0,1,-40.900557,South,Summer
2004.12.16,2004.0,AUSTRALIA,,M,Y,1,12,-25.274398,South,Summer
2004.12.11,2004.0,AUSTRALIA,spearfishing,M,Y,1,12,-25.274398,South,Summer
2004.11.11,2004.0,VANUATU,snorkeling,M,N,0,11,-15.376706,South,Spring
2004.11.00,2004.0,NEW CALEDONIA,diving,,N,0,11,-20.904305,South,Spring
2004.10.31,2004.0,CUBA,diving,M,N,0,10,21.521757,North,Autumn
2004.10.21,2004.0,AUSTRALIA,surfing,M,N,0,10,-25.274398,South,Spring
2004.10.10,2004.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2004.10.09,2004.0,USA,spearfishing,M,N,0,10,37.09024,North,Autumn
2004.10.06,2004.0,REUNION,boarding,M,N,0,10,-21.115141,South,Spring
2004.10.02,2004.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2004.10.01,2004.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2004.09.25,2004.0,AUSTRALIA,,,N,0,9,-25.274398,South,Spring
2004.09.20,2004.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2004.09.08,2004.0,BRAZIL,swimming,,Y,1,9,-14.235004,South,Spring
2004.09.04,2004.0,USA,,F,N,0,9,37.09024,North,Autumn
2004.08.29,2004.0,USA,,F,N,0,8,37.09024,North,Summer
2004.08.21,2004.0,BRAZIL,,M,N,0,8,-14.235004,South,Winter
2004.08.20,2004.0,USA,surfing,M,N,0,8,37.09024,North,Summer
2004.08.15,2004.0,USA,diving,M,Y,1,8,37.09024,North,Summer
2004.08.06,2004.0,USA,swimming,M,N,0,8,37.09024,North,Summer
2004.08.03,2004.0,AUSTRALIA,spearfishing,M,N,0,8,-25.274398,South,Winter
2004.07.31,2004.0,USA,surfing,F,N,0,7,37.09024,North,Summer
2004.07.30,2004.0,RUSSIA,,M,N,0,7,61.52401,North,Summer
2004.07.28,2004.0,USA,surfing,F,N,0,7,37.09024,North,Summer
2004.07.27,2004.0,USA,swimming,F,N,0,7,37.09024,North,Summer
2004.07.27,2004.0,USA,swimming,F,N,0,7,37.09024,North,Summer
2004.07.25,2004.0,USA,,M,N,0,7,37.09024,North,Summer
2004.07.19,2004.0,AUSTRALIA,fishing,,N,0,7,-25.274398,South,Winter
2004.07.15,2004.0,JAPAN,fishing,M,N,0,7,36.204824,North,Summer
2004.07.10,2004.0,AUSTRALIA,surfing,M,Y,1,7,-25.274398,South,Winter
2004.07.02,2004.0,EGYPT,snorkeling,F,N,0,7,26.820553,North,Summer
2004.07.02,2004.0,USA,,M,N,0,7,37.09024,North,Summer
2004.06.26,2004.0,USA,surfing,M,N,0,6,37.09024,North,Summer
2004.06.14,2004.0,USA,diving,F,N,0,6,37.09024,North,Summer
2004.06.10,2004.0,AUSTRALIA,boarding,M,N,0,6,-25.274398,South,Winter
2004.06.10,2004.0,USA,swimming,M,N,0,6,37.09024,North,Summer
2004.05.29,2004.0,USA,,M,N,0,5,37.09024,North,Spring
2004.05.23,2004.0,BRAZIL,swimming,M,N,0,5,-14.235004,South,Autumn
2004.05.28,2004.0,USA,surfing,M,N,0,5,37.09024,North,Spring
2004.05.23,2004.0,USA,,M,N,0,5,37.09024,North,Spring
2004.05.22,2004.0,USA,,F,N,0,5,37.09024,North,Spring
2004.05.22,2004.0,BRAZIL,,F,N,0,5,-14.235004,South,Autumn
2004.05.18,2004.0,BAHAMAS,,M,N,0,5,25.03428,North,Spring
2004.05.04,2004.0,USA,surfing,M,N,0,5,37.09024,North,Spring
2004.05.01,2004.0,BRAZIL,swimming,M,Y,1,5,-14.235004,South,Autumn
2004.04.26,2004.0,AUSTRALIA,diving,M,N,0,4,-25.274398,South,Autumn
2004.04.22,2004.0,NEW ZEALAND,fishing,,N,0,4,-40.900557,South,Autumn
2004.04.13,2004.0,TONGA,fishing,M,Y,1,4,-21.178986,South,Autumn
2004.04.13,2004.0,TONGA,fishing,M,Y,1,4,-21.178986,South,Autumn
2004.04.07,2004.0,USA,surfing,M,Y,1,4,37.09024,North,Spring
2004.03.31,2004.0,USA,,M,N,0,3,37.09024,North,Spring
2004.03.31,2004.0,USA,surfing,M,N,0,3,37.09024,North,Spring
2004.03.29,2004.0,BRAZIL,boarding,M,N,0,3,-14.235004,South,Autumn
2004.03.28,2004.0,USA,surfing,M,N,0,3,37.09024,North,Spring
2004.03.27,2004.0,REUNION,surfing,M,N,0,3,-21.115141,South,Autumn
2004.03.27,2004.0,USA,swimming,M,N,0,3,37.09024,North,Spring
2004.03.24,2004.0,USA,snorkeling,F,N,0,3,37.09024,North,Spring
2004.03.22,2004.0,NEW ZEALAND,spearfishing,M,N,0,3,-40.900557,South,Autumn
2004.03.16,2004.0,USA,surfing,M,N,0,3,37.09024,North,Spring
2004.03.06,2004.0,AUSTRALIA,spearfishing,M,N,0,3,-25.274398,South,Autumn
2004.02.29,2004.0,BRAZIL,swimming,M,Y,1,2,-14.235004,South,Summer
2004.02.26,2004.0,NEW ZEALAND,surfing,M,N,0,2,-40.900557,South,Summer
2004.02.21,2004.0,AUSTRALIA,swimming,M,N,0,2,-25.274398,South,Summer
2004.02.14,2004.0,EGYPT,snorkeling,M,Y,1,2,26.820553,North,Winter
2004.02.11,2004.0,AUSTRALIA,snorkeling,M,N,0,2,-25.274398,South,Summer
2004.01.25,2004.0,AUSTRALIA,diving,M,N,0,1,-25.274398,South,Summer
2004.01.23,2004.0,URUGUAY,surfing,M,N,0,1,-32.522779,South,Summer
2004.01.21,2004.0,VENEZUELA,swimming,M,N,0,1,6.42375,North,Winter
2004.01.21,2004.0,VENEZUELA,spearfishing,M,N,0,1,6.42375,North,Winter
2004.01.12,2004.0,AUSTRALIA,diving,M,N,0,1,-25.274398,South,Summer
2004.01.03,2004.0,EGYPT,,,Y,1,1,26.820553,North,Winter
2003.12.13,2003.0,USA,swimming,M,N,0,12,37.09024,North,Winter
2003.12.13,2003.0,NEW ZEALAND,swimming,M,Y,1,12,-40.900557,South,Summer
2003.12.08,2003.0,AUSTRALIA,surfing,M,N,0,12,-25.274398,South,Summer
2003.11.30,2003.0,AUSTRALIA,swimming,M,N,0,11,-25.274398,South,Spring
2003.11.30,2003.0,AUSTRALIA,swimming,M,N,0,11,-25.274398,South,Spring
2003.11.22,2003.0,USA,surfing,F,N,0,11,37.09024,North,Autumn
2003.11.12,2003.0,INDIA,,M,N,0,11,20.593684,North,Autumn
2003.11.12,2003.0,USA,surfing,M,N,0,11,37.09024,North,Autumn
2003.11.06,2003.0,EGYPT,snorkeling,M,N,0,11,26.820553,North,Autumn
2003.11.01,2003.0,AUSTRALIA,,M,N,0,11,-25.274398,South,Spring
2003.11.00,2003.0,PANAMA,spearfishing,M,N,0,11,8.537981,North,Autumn
2003.10.31,2003.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2003.10.31,2003.0,AUSTRALIA,surfing,M,N,0,10,-25.274398,South,Spring
2003.10.31,2003.0,USA,surfing,F,N,0,10,37.09024,North,Autumn
2003.10.27,2003.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2003.10.14,2003.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2003.10.06,2003.0,USA,swimming,M,Y,1,10,37.09024,North,Autumn
2003.10.05,2003.0,USA,surfing,F,N,0,10,37.09024,North,Autumn
2003.10.05,2003.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2003.10.05,2003.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2003.10.05,2003.0,USA,,M,N,0,10,37.09024,North,Autumn
2003.10.05,2003.0,USA,,F,N,0,10,37.09024,North,Autumn
2003.09.29,2003.0,FIJI,,M,Y,1,9,-16.578193,South,Spring
2003.09.28,2003.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2003.09.21,2003.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2003.09.19,2003.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2003.09.17,2003.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2003.09.14,2003.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2003.09.13,2003.0,USA,boarding,M,N,0,9,37.09024,North,Autumn
2003.09.13,2003.0,USA,,M,N,0,9,37.09024,North,Autumn
2003.09.00,2003.0,USA,fishing,M,N,0,9,37.09024,North,Autumn
2003.08.29,2003.0,USA,fishing,M,N,0,8,37.09024,North,Summer
2003.08.19,2003.0,USA,,F,Y,1,8,37.09024,North,Summer
2003.07.26,2003.0,AUSTRALIA,,M,N,0,7,-25.274398,South,Winter
2003.07.20,2003.0,USA,surfing,M,N,0,7,37.09024,North,Summer
2003.07.15,2003.0,USA,,F,N,0,7,37.09024,North,Summer
2003.07.09,2003.0,BAHAMAS,spearfishing,M,N,0,7,25.03428,North,Summer
2003.07.05,2003.0,USA,,M,N,0,7,37.09024,North,Summer
2003.07.05,2003.0,USA,surfing,M,N,0,7,37.09024,North,Summer
2003.07.04,2003.0,BAHAMAS,spearfishing,M,N,0,7,25.03428,North,Summer
2003.07.00,2003.0,USA,spearfishing,M,N,0,7,37.09024,North,Summer
2003.07.00,2003.0,FRENCH POLYNESIA,spearfishing,M,N,0,7,-17.679742,South,Winter
2003.07.00,2003.0,NEW ZEALAND,snorkeling,M,N,0,7,-40.900557,South,Winter
2003.06.30,2003.0,USA,surfing,M,N,0,6,37.09024,North,Summer
2003.06.26,2003.0,USA,surfing,M,N,0,6,37.09024,North,Summer
2003.06.24,2003.0,BRAZIL,,M,Y,1,6,-14.235004,South,Winter
2003.06.24,2003.0,USA,,F,N,0,6,37.09024,North,Summer
2003.06.24,2003.0,USA,swimming,M,N,0,6,37.09024,North,Summer
2003.06.22,2003.0,USA,swimming,M,N,0,6,37.09024,North,Summer
2003.06.19,2003.0,USA,surfing,M,N,0,6,37.09024,North,Summer
2003.06.08,2003.0,USA,surfing,,N,0,6,37.09024,North,Summer
2003.05.25,2003.0,USA,surfing,M,N,0,5,37.09024,North,Spring
2003.05.14,2003.0,USA,,M,N,0,5,37.09024,North,Spring
2003.05.10,2003.0,USA,swimming,M,N,0,5,37.09024,North,Spring
2003.05.07,2003.0,USA,surfing,M,N,0,5,37.09024,North,Spring
2003.05.03,2003.0,USA,,F,N,0,5,37.09024,North,Spring
2003.05.00,2003.0,PHILIPPINES,,,N,0,5,12.879721,North,Spring
2003.04.26,2003.0,BRAZIL,,M,N,0,4,-14.235004,South,Autumn
2003.04.25,2003.0,BRAZIL,swimming,M,N,0,4,-14.235004,South,Autumn
2003.04.23,2003.0,BRAZIL,surfing,M,N,0,4,-14.235004,South,Autumn
2003.04.23,2003.0,BRAZIL,swimming,M,N,0,4,-14.235004,South,Autumn
2003.04.21,2003.0,USA,surfing,M,N,0,4,37.09024,North,Spring
2003.04.21,2003.0,USA,surfing,M,N,0,4,37.09024,North,Spring
2003.04.20,2003.0,USA,surfing,M,N,0,4,37.09024,North,Spring
2003.04.20,2003.0,USA,surfing,M,N,0,4,37.09024,North,Spring
2003.04.20,2003.0,USA,surfing,M,N,0,4,37.09024,North,Spring
2003.04.19,2003.0,USA,,M,N,0,4,37.09024,North,Spring
2003.04.18,2003.0,USA,surfing,M,N,0,4,37.09024,North,Spring
2003.04.15,2003.0,USA,,M,N,0,4,37.09024,North,Spring
2003.04.11,2003.0,VENEZUELA,surfing,M,N,0,4,6.42375,North,Spring
2003.04.09,2003.0,USA,surfing,M,N,0,4,37.09024,North,Spring
